Date,Onion_Price,Potato_Price,Tomato_Price,Average_Price
2020-01-01,69.63676470588236,27.707941176470587,32.05882352941177,43.13450980392157
2020-02-01,41.86382352941176,24.139117647058825,26.99411764705882,30.999019607843138
2020-03-01,33.29323529411765,23.555588235294117,25.187058823529412,27.345294117647057
2020-04-01,30.6775,27.3928125,26.96,28.343437500000004
2020-05-01,23.970625000000002,26.6490625,23.2903125,24.636666666666667
2020-06-01,23.14294117647059,28.28676470588235,27.300588235294118,26.243431372549022
2020-07-01,24.454411764705885,32.074999999999996,50.095,35.54147058823529
2020-08-01,25.851176470588236,34.57470588235294,52.565588235294115,37.663823529411765
2020-09-01,34.47235294117647,38.3864705882353,57.64764705882353,43.502156862745096
2020-10-01,52.146764705882354,42.082941176470584,52.19558823529412,48.808431372549016
2020-11-01,61.33882352941176,46.48323529411765,47.88029411764706,51.90078431372549
2020-12-01,47.50121212121212,40.14242424242424,41.03787878787879,42.893838383838386
2021-01-01,40.919375,26.9384375,30.0578125,32.63854166666666
2021-02-01,45.38333333333333,20.567575757575757,26.867878787878787,30.93959595959596
2021-03-01,35.70545454545454,18.71909090909091,22.041515151515153,25.48868686868687
2021-04-01,25.98090909090909,19.617575757575757,21.856969696969696,22.485151515151514
2021-05-01,26.23,20.65774193548387,21.625806451612902,22.837849462365593
2021-06-01,30.36125,22.6284375,25.193125,26.060937499999998
2021-07-01,31.330322580645163,22.063225806451616,28.059677419354838,27.151075268817205
2021-08-01,31.308709677419355,21.82741935483871,31.86741935483871,28.334516129032256
2021-09-01,31.4003125,22.5053125,30.4978125,28.134479166666665
2021-10-01,42.5630303030303,23.8530303030303,46.394375000000004,37.60347853535353
2021-11-01,44.57382352941176,27.693823529411766,62.08558823529411,44.78441176470588
2021-12-01,38.167812500000004,25.40875,58.2021875,40.59291666666667
2022-01-01,37.460625,22.7865625,39.12125,33.1228125
2022-02-01,38.9971875,22.15125,30.3515625,30.5
2022-03-01,35.151875,22.4690625,27.1834375,28.268124999999998
2022-04-01,28.513823529411766,23.454117647058826,32.468823529411765,28.145588235294117
2022-05-01,26.503939393939394,25.11060606060606,45.78787878787879,32.467474747474746
2022-06-01,27.466764705882355,27.464411764705883,53.26882352941177,36.06666666666667
2022-07-01,28.815,29.38735294117647,44.27411764705882,34.15882352941176
2022-08-01,28.670588235294115,29.745,38.97735294117647,32.46431372549019
2022-09-01,28.33457142857143,29.88314285714286,43.84628571428572,34.02133333333334
2022-10-01,30.34771428571429,30.767714285714288,48.20885714285714,36.441428571428574
2022-11-01,33.57628571428572,31.15657142857143,40.306000000000004,35.012952380952385
2022-12-01,30.825428571428574,28.82857142857143,33.68571428571428,31.113238095238092
2023-01-01,30.271428571428572,26.263714285714286,30.290285714285716,28.941809523809525
